,Date,Time,Temperature,Humidity,Dew Point,Bar. Pressure,Wind Speed
6032,22,8:00 PM,69.98,30.99,37.94,30.19,4
6344,23,8:00 PM,64.04,41.1,39.92,30.08,7
6667,24,8:00 PM,71.96,53.15,53.96,29.91,9
6974,25,8:00 PM,80.96,32.75,48.92,29.93,9
7281,26,8:00 PM,80.96,13.82,26.96,29.92,6
272,2,6:00 PM,71.6,28.72,37.4,30.16,8
572,3,6:00 PM,73.4,25.17,35.6,30.24,7
852,4,6:00 PM,73.4,20.26,30.2,30.05,8
1116,5,6:00 PM,77,16.7,28.41,30,6
1380,6,6:00 PM,75.2,23.7,35.6,30.14,8
1644,7,6:00 PM,77,20.78,33.8,30.17,6
1907,8,6:00 PM,77,23.97,37.4,30.21,7
2171,9,6:00 PM,77,23.97,37.4,30.21,8
2436,10,6:00 PM,77,25.73,39.2,30.19,7
2700,11,6:00 PM,75.2,25.45,37.4,30.13,7
2961,12,6:00 PM,75.2,23.7,35.6,30.13,11
3255,13,6:00 PM,71.96,31.31,39.92,30.07,9
3563,14,6:00 PM,69.8,32.76,39.2,30.01,8
3878,15,6:00 PM,68,28.34,33.98,30.01,7
4197,16,6:00 PM,73.4,46.78,51.8,29.95,4
4518,17,6:00 PM,84.02,25.56,44.96,30.12,8
4519,17,6:00 PM,84.2,25.06,44.6,30.12,8
4824,18,6:00 PM,87.8,10.94,26.61,30.11,9
5125,19,6:00 PM,84.02,15.38,32,30.17,9
5438,20,6:00 PM,78.98,24.79,39.92,30.23,6
5749,21,6:00 PM,78.98,18.11,32,30.25,8
6063,22,6:00 PM,73.4,25.17,35.6,30.18,8
6380,23,6:00 PM,71.96,30.23,39.02,30.07,12
6691,24,6:00 PM,77,44.33,53.6,29.9,10
6998,25,6:00 PM,89.06,14.19,33.98,29.9,12
298,2,4:00 PM,73.94,25.07,35.96,30.2,8
598,3,4:00 PM,75.2,25.45,37.4,30.24,7
874,4,4:00 PM,75.2,17.72,28.4,30.05,13
1138,5,4:00 PM,78.8,15.74,28.41,30.03,-
1402,6,4:00 PM,80.6,18.47,33.8,30.16,9
1666,7,4:00 PM,78.8,21.04,35.6,30.19,5
1929,8,4:00 PM,78.8,19.59,33.81,30.23,7
2193,9,4:00 PM,80.6,19.84,35.6,30.23,4
2458,10,4:00 PM,78.8,26,41,30.19,7
2722,11,4:00 PM,75.2,23.7,35.6,30.14,9
2983,12,4:00 PM,77,25.73,39.2,30.13,11
3281,13,4:00 PM,73.04,31.48,41,30.06,9
3589,14,4:00 PM,69.98,32.33,39.02,30.03,3
3904,15,4:00 PM,69.98,29.91,37.04,30.01,10
4223,16,4:00 PM,84.02,27.54,46.94,29.97,6
4546,17,4:00 PM,82.94,28.52,46.94,30.15,7
4850,18,4:00 PM,89.96,11.25,28.94,30.13,5
5151,19,4:00 PM,84.02,21.05,39.92,30.19,8
5463,20,4:00 PM,80.96,23.24,39.92,30.25,4
5775,21,4:00 PM,80.96,14.99,28.94,30.27,10
6089,22,4:00 PM,73.94,27.11,37.94,30.2,6
6406,23,4:00 PM,73.94,31.85,42.08,30.08,9
6719,24,4:00 PM,78.98,37.86,51.08,29.91,12
7024,25,4:00 PM,89.6,15.98,37.4,29.91,18
17,1,2:00 PM,73.94,22.35,33.08,30.06,-
324,2,2:00 PM,71.6,28.72,37.4,30.24,8
624,3,2:00 PM,71.96,30.23,39.02,30.27,8
896,4,2:00 PM,73.4,17.48,26.6,30.06,13
1160,5,2:00 PM,78.8,16.94,30.2,30.09,4
1424,6,2:00 PM,80.6,21.3,37.4,30.19,10
1688,7,2:00 PM,78.8,21.04,35.6,30.23,-
1951,8,2:00 PM,78.8,22.59,37.4,30.27,-
2215,9,2:00 PM,78.8,19.59,33.81,30.26,4
2480,10,2:00 PM,75.2,31.39,42.8,30.22,6
2744,11,2:00 PM,73.4,29,39.2,30.16,8
3005,12,2:00 PM,75.2,27.31,39.2,30.16,8
3307,13,2:00 PM,71.06,37.86,44.06,30.09,8
3615,14,2:00 PM,69.8,30.53,37.4,30.05,-
3930,15,2:00 PM,69.08,31.96,37.94,30.05,11
4249,16,2:00 PM,82.94,29.7,48.02,30.04,15
4572,17,2:00 PM,77,37.29,48.92,30.21,12
4876,18,2:00 PM,86,15.63,33.97,30.17,5
5176,19,2:00 PM,82.04,22.44,39.92,30.23,-
5488,20,2:00 PM,78.08,22.81,37.04,30.29,6
5801,21,2:00 PM,78.08,21.09,35.06,30.29,7
6114,22,2:00 PM,73.04,27.94,37.94,30.22,8
6432,23,2:00 PM,71.96,35.24,42.98,30.09,7
6745,24,2:00 PM,82.94,33.28,51.08,29.93,10
7048,25,2:00 PM,87.8,20.86,42.8,29.94,19
43,1,12:00 PM,68,29.59,35.06,30.1,3
349,2,12:00 PM,66.92,30.71,35.06,30.29,4
650,3,12:00 PM,68,33.16,37.94,30.29,3
918,4,12:00 PM,71.6,20,28.4,30.07,7
1182,5,12:00 PM,71.6,24.89,33.8,30.15,3
1446,6,12:00 PM,73.4,25.17,35.6,30.23,4
1710,7,12:00 PM,73.4,27.03,37.4,30.28,4
1973,8,12:00 PM,73.4,25.17,35.6,30.31,-
2237,9,12:00 PM,73.4,29,39.2,30.28,4
2502,10,12:00 PM,73.4,33.34,42.8,30.25,5
2763,11,12:00 PM,71.6,35.42,42.8,30.2,6
3027,12,12:00 PM,69.8,35.13,41,30.2,6
3332,13,12:00 PM,68,37.36,41,30.11,-
3641,14,12:00 PM,64.94,46.72,44.06,30.08,5
3956,15,12:00 PM,66.92,33.22,37.04,30.08,6
4275,16,12:00 PM,78.98,34.94,48.92,30.11,12
4593,17,12:00 PM,77,33.46,46.04,30.25,17
4902,18,12:00 PM,80.06,21.38,37.04,30.21,3
5202,19,12:00 PM,78.08,26.63,41,30.26,4
5514,20,12:00 PM,73.04,24.94,35.06,30.32,-
5827,21,12:00 PM,73.04,27.94,37.94,30.31,4
6139,22,12:00 PM,69.08,31.96,37.94,30.25,4
6458,23,12:00 PM,69.98,42.35,46.04,30.11,11
6772,24,12:00 PM,82.04,32.92,50,29.97,-
7074,25,12:00 PM,86,19.76,39.92,29.97,15
68,1,10:00 AM,57.2,44.2,35.6,30.13,8
368,2,10:00 AM,59,42.03,35.96,30.3,-
675,3,10:00 AM,60.98,39.18,35.96,30.29,6
940,4,10:00 AM,62.6,33.95,33.8,30.05,6
1204,5,10:00 AM,62.6,39.16,37.4,30.17,8
1468,6,10:00 AM,64.4,36.77,37.4,30.24,8
1732,7,10:00 AM,64.4,39.46,39.2,30.29,5
1995,8,10:00 AM,64.4,36.77,37.4,30.32,9
2259,9,10:00 AM,66.2,34.54,37.4,30.29,6
2524,10,10:00 AM,66.2,39.75,41,30.26,-
2785,11,10:00 AM,62.6,42.03,39.2,30.22,4
3050,12,10:00 AM,64.4,39.46,39.2,30.2,3
3358,13,10:00 AM,62.06,44.05,39.92,30.11,5
3667,14,10:00 AM,60.08,53.18,42.98,30.09,3
3982,15,10:00 AM,62.06,44.05,39.92,30.1,10
4301,16,10:00 AM,69.08,54.51,51.98,30.13,8
4619,17,10:00 AM,75.2,33.63,44.6,30.2,11
4928,18,10:00 AM,71.06,29.87,37.94,30.22,6
5227,19,10:00 AM,69.8,37.66,42.8,30.27,5
5539,20,10:00 AM,66.02,35.5,37.94,30.33,4
5853,21,10:00 AM,64.04,38.04,37.94,30.31,4
6165,22,10:00 AM,62.96,42.68,39.92,30.26,6
6484,23,10:00 AM,66.92,52.41,48.92,30.1,3
6796,24,10:00 AM,75.02,44.61,51.98,30.01,11
7100,25,10:00 AM,78.08,27.76,42.08,29.98,7
94,1,8:00 AM,50,57.52,35.6,30.12,7
393,2,8:00 AM,50,57.52,35.6,30.28,-
699,3,8:00 AM,51.8,53.81,35.6,30.25,5
962,4,8:00 AM,55.4,43.9,33.8,30.02,6
1226,5,8:00 AM,53.6,46.88,33.8,30.15,7
1490,6,8:00 AM,53.6,54.08,37.4,30.22,7
1754,7,8:00 AM,55.4,50.65,37.4,30.29,7
2017,8,8:00 AM,53.6,54.08,37.4,30.3,6
2281,9,8:00 AM,53.6,58.03,39.2,30.28,6
2546,10,8:00 AM,53.6,62.24,41,30.24,4
2808,11,8:00 AM,53.6,62.24,41,30.2,4
3076,12,8:00 AM,53.6,66.71,42.8,30.18,3
3384,13,8:00 AM,53.6,66.71,42.8,30.09,4
3693,14,8:00 AM,53.6,76.52,46.4,30.06,-
4008,15,8:00 AM,57.2,58.55,42.8,30.09,7
4326,16,8:00 AM,66.02,56.28,50,30.14,13
4644,17,8:00 AM,69.98,49.13,50,30.18,7
4953,18,8:00 AM,60.08,47.25,39.92,30.21,8
5252,19,8:00 AM,60.8,51.48,42.8,30.26,6
5564,20,8:00 AM,55.4,50.65,37.4,30.32,6
5879,21,8:00 AM,53.6,58.03,39.2,30.28,6
6190,22,8:00 AM,53.96,56.88,39.02,30.23,6
6510,23,8:00 AM,59,77.01,51.8,30.07,3
6821,24,8:00 AM,68,56.19,51.8,30.03,10
7126,25,8:00 AM,69.8,32.76,39.2,29.98,9
120,1,6:00 AM,50,56.3,35.06,30.11,6
419,2,6:00 AM,50,56.3,35.06,30.27,4
721,3,6:00 AM,50,57.52,35.6,30.22,4
984,4,6:00 AM,57.2,41.14,33.8,30,8
1248,5,6:00 AM,53.6,50.37,35.6,30.15,8
1512,6,6:00 AM,53.6,54.08,37.4,30.21,3
1776,7,6:00 AM,55.4,50.65,37.4,30.27,7
2039,8,6:00 AM,53.6,54.08,37.4,30.28,5
2303,9,6:00 AM,53.6,54.08,37.4,30.26,-
2568,10,6:00 AM,53.6,58.03,39.2,30.21,5
2830,11,6:00 AM,53.6,58.03,39.2,30.18,4
3102,12,6:00 AM,53.96,61.43,41,30.16,3
3410,13,6:00 AM,53.96,71.51,44.96,30.06,6
3719,14,6:00 AM,55.4,71.66,46.4,30.04,5
4034,15,6:00 AM,62.06,53.48,44.96,30.07,-
4348,16,6:00 AM,64.04,64.88,51.98,30.14,10
4671,17,6:00 AM,71.6,26.74,35.6,30.17,9
4979,18,6:00 AM,57.92,55.49,42.08,30.19,7
5278,19,6:00 AM,59,53.39,42.08,30.24,5
5590,20,6:00 AM,53.96,50.42,35.96,30.29,3
5904,21,6:00 AM,53.06,58.78,39.02,30.25,5
6216,22,6:00 AM,53.96,61.43,41,30.2,4
6536,23,6:00 AM,60.08,72.16,51.08,30.03,6
6845,24,6:00 AM,69.08,54.51,51.98,30.02,11
7152,25,6:00 AM,66.92,35.9,39.02,29.98,7
