Date,Time,Temperature,Humidity,Dew Point,Bar. Pressure,Wind Speed
6,2:00 PM,60.08,39.03,35.06,29.72,14
7,2:00 PM,46.94,53.45,30.92,29.91,8
8,2:00 PM,48.92,60.74,35.96,29.81,14
9,2:00 PM,41,42.46,19.94,30.17,12
10,2:00 PM,44.6,48.93,26.6,29.96,14
11,2:00 PM,35.96,89.15,33.08,29.95,3
12,2:00 PM,66.02,16.98,19.93,29.77,18
13,2:00 PM,64.04,24.44,26.96,30.05,3
14,2:00 PM,57.92,35.7,30.92,30.21,7
15,2:00 PM,53.96,36.63,28.04,30.26,9
16,2:00 PM,55.4,30.39,24.8,30.29,-
17,2:00 PM,46.04,45.3,26.06,30.29,6
18,2:00 PM,46.94,47.52,28.04,29.94,13
19,2:00 PM,53.06,46.46,33.08,30.16,3
20,2:00 PM,46.94,40.32,24.08,30.21,-
21,2:00 PM,44.6,52.7,28.4,29.84,14
22,2:00 PM,51.8,76.35,44.6,29.5,27
23,2:00 PM,75.92,13.82,22.99,29.83,9
24,2:00 PM,75.2,22.06,33.8,30.09,6
25,2:00 PM,73.94,26.17,37.04,30.3,5
2,12:00 PM,37.94,43.94,17.96,30.29,-
3,12:00 PM,37.04,45.52,17.96,30.24,13
4,12:00 PM,46.4,49.22,28.4,29.78,8
5,12:00 PM,42.08,78.73,35.96,29.88,4
6,12:00 PM,60.8,38.87,35.6,29.76,20
7,12:00 PM,46.04,53.31,30.02,29.96,14
8,12:00 PM,46.04,73.18,37.94,29.87,11
9,12:00 PM,41,40.85,19.04,30.19,7
10,12:00 PM,42.8,56.46,28.4,29.97,11
11,12:00 PM,33.98,96.46,33.08,29.95,6
12,12:00 PM,64.04,22.51,24.98,29.81,18
13,12:00 PM,57.02,34.01,28.94,30.1,4
14,12:00 PM,53.96,43.04,32,30.26,4
15,12:00 PM,53.06,36.2,26.96,30.3,5
16,12:00 PM,50,39.05,26.06,30.35,3
17,12:00 PM,44.96,51.22,28.04,30.28,5
18,12:00 PM,44.96,68.04,35.06,29.94,22
19,12:00 PM,48.02,56,33.08,30.2,8
20,12:00 PM,44.6,52.7,28.4,30.22,-
21,12:00 PM,42.8,60.77,30.2,29.8,16
22,12:00 PM,60.08,43.73,37.94,29.47,21
23,12:00 PM,73.04,16.54,24.98,29.92,12
24,12:00 PM,71.06,24.63,33.08,30.16,3
25,12:00 PM,71.06,27.63,35.96,30.34,4
1,10:00 AM,33.98,60.88,21.92,30.13,4
2,10:00 AM,32,53.54,17.06,30.31,7
3,10:00 AM,33.98,53.85,19.04,30.24,9
4,10:00 AM,42.8,75.5,35.6,29.75,11
5,10:00 AM,39.92,82.59,35.06,29.93,9
6,10:00 AM,59,41.44,35.6,29.75,15
7,10:00 AM,44.96,55.54,30.02,29.97,15
8,10:00 AM,44.96,70.51,35.96,29.92,6
9,10:00 AM,37.94,52.04,21.92,30.21,7
11,10:00 AM,35.06,92.39,33.08,29.96,6
12,10:00 AM,57.02,30.2,26.06,29.85,17
13,10:00 AM,51.08,45.8,30.92,30.15,7
14,10:00 AM,48.02,51.33,30.92,30.29,-
15,10:00 AM,46.94,49.31,28.94,30.32,-
16,10:00 AM,44.06,48.84,26.06,30.38,6
17,10:00 AM,42.98,57.32,28.94,30.27,5
18,10:00 AM,51.08,56.05,35.96,29.9,15
19,10:00 AM,44.06,67.44,33.98,30.23,6
20,10:00 AM,41,60.51,28.4,30.22,-
21,10:00 AM,42.8,70.27,33.8,29.76,14
22,10:00 AM,59,45.45,37.94,29.57,19
23,10:00 AM,64.94,27.85,30.92,29.98,3
24,10:00 AM,62.96,35.25,35.06,30.21,3
25,10:00 AM,64.94,35.58,37.04,30.37,-
1,8:00 AM,30.02,68.76,21.02,30.15,3
2,8:00 AM,28.04,62.91,17.06,30.3,4
3,8:00 AM,32,54.8,17.6,30.21,8
4,8:00 AM,35.6,86.58,32,29.75,13
5,8:00 AM,39.02,85.54,35.06,29.92,14
6,8:00 AM,59,41.44,35.6,29.69,17
7,8:00 AM,41,70.06,32,29.97,10
8,8:00 AM,44.96,47.2,26.06,29.9,13
9,8:00 AM,30.92,72.08,23,30.2,6
11,8:00 AM,39.02,81.94,33.98,29.94,8
12,8:00 AM,53.96,35.03,26.96,29.84,22
13,8:00 AM,42.08,64.33,30.92,30.17,6
14,8:00 AM,37.94,75.57,30.92,30.28,5
15,8:00 AM,37.94,69.71,28.94,30.31,6
16,8:00 AM,35.96,66.93,26.06,30.38,6
17,8:00 AM,39.92,67.43,30.02,30.21,-
18,8:00 AM,46.94,63.13,35.06,29.91,11
19,8:00 AM,44.96,53.15,28.94,30.19,6
20,8:00 AM,39.2,69.85,30.2,30.19,3
21,8:00 AM,39.2,80.78,33.8,29.71,11
22,8:00 AM,64.4,27.56,30.2,29.58,15
23,8:00 AM,57.02,35.55,30.02,29.98,9
24,8:00 AM,53.06,50.28,35.06,30.22,6
25,8:00 AM,53.96,48.65,35.06,30.36,5
1,6:00 AM,28.04,74.56,21.02,30.17,4
2,6:00 AM,26.96,65.77,17.06,30.3,6
3,6:00 AM,30.02,65.67,19.94,30.18,6
4,6:00 AM,42.08,75.97,35.06,29.65,17
5,6:00 AM,42.98,73.38,35.06,29.83,10
6,6:00 AM,57.92,42.16,35.06,29.65,23
7,6:00 AM,39.92,76.31,33.08,29.94,9
8,6:00 AM,42.98,50.9,26.06,29.9,7
9,6:00 AM,30.02,74.77,23,30.16,5
10,6:00 AM,35.06,88.46,32,29.93,8
11,6:00 AM,46.4,52.98,30.2,29.86,15
12,6:00 AM,50,43.97,28.94,29.86,12
13,6:00 AM,39.02,69.83,30.02,30.15,7
14,6:00 AM,35.96,78.77,30.02,30.26,5
15,6:00 AM,35.96,75.37,28.94,30.3,4
16,6:00 AM,33.08,77.93,26.96,30.36,5
17,6:00 AM,37.94,72.85,30.02,30.18,4
18,6:00 AM,44.06,67.44,33.98,29.93,-
19,6:00 AM,46.04,45.3,26.06,30.12,9
20,6:00 AM,37.4,74.96,30.2,30.15,4
21,6:00 AM,41,75.32,33.8,29.65,12
22,6:00 AM,64.04,27.71,30.02,29.53,26
23,6:00 AM,51.98,42.71,30.02,29.97,11
24,6:00 AM,48.2,57.25,33.8,30.21,6
25,6:00 AM,50,53.53,33.8,30.34,3
