Date,Time,Temperature,Humidity,Dew Point,Bar. Pressure,Wind Speed
13,4:00 PM,73.04,31.48,41,30.06,9
14,4:00 PM,69.98,32.33,39.02,30.03,3
15,4:00 PM,69.98,29.91,37.04,30.01,10
16,4:00 PM,84.02,27.54,46.94,29.97,6
17,4:00 PM,82.94,28.52,46.94,30.15,7
18,4:00 PM,89.96,11.25,28.94,30.13,5
19,4:00 PM,84.02,21.05,39.92,30.19,8
20,4:00 PM,80.96,23.24,39.92,30.25,4
21,4:00 PM,80.96,14.99,28.94,30.27,10
22,4:00 PM,73.94,27.11,37.94,30.2,6
23,4:00 PM,73.94,31.85,42.08,30.08,9
24,4:00 PM,78.98,37.86,51.08,29.91,12
25,4:00 PM,89.6,15.98,37.4,29.91,18
1,2:00 PM,73.94,22.35,33.08,30.06,-
2,2:00 PM,71.6,28.72,37.4,30.24,8
3,2:00 PM,71.96,30.23,39.02,30.27,8
4,2:00 PM,73.4,17.48,26.6,30.06,13
5,2:00 PM,78.8,16.94,30.2,30.09,4
6,2:00 PM,80.6,21.3,37.4,30.19,10
7,2:00 PM,78.8,21.04,35.6,30.23,-
8,2:00 PM,78.8,22.59,37.4,30.27,-
9,2:00 PM,78.8,19.59,33.81,30.26,4
10,2:00 PM,75.2,31.39,42.8,30.22,6
11,2:00 PM,73.4,29,39.2,30.16,8
12,2:00 PM,75.2,27.31,39.2,30.16,8
13,2:00 PM,71.06,37.86,44.06,30.09,8
14,2:00 PM,69.8,30.53,37.4,30.05,-
15,2:00 PM,69.08,31.96,37.94,30.05,11
16,2:00 PM,82.94,29.7,48.02,30.04,15
17,2:00 PM,77,37.29,48.92,30.21,12
18,2:00 PM,86,15.63,33.97,30.17,5
19,2:00 PM,82.04,22.44,39.92,30.23,-
20,2:00 PM,78.08,22.81,37.04,30.29,6
21,2:00 PM,78.08,21.09,35.06,30.29,7
22,2:00 PM,73.04,27.94,37.94,30.22,8
23,2:00 PM,71.96,35.24,42.98,30.09,7
24,2:00 PM,82.94,33.28,51.08,29.93,10
25,2:00 PM,87.8,20.86,42.8,29.94,19
1,12:00 PM,68,29.59,35.06,30.1,3
2,12:00 PM,66.92,30.71,35.06,30.29,4
3,12:00 PM,68,33.16,37.94,30.29,3
4,12:00 PM,71.6,20,28.4,30.07,7
5,12:00 PM,71.6,24.89,33.8,30.15,3
6,12:00 PM,73.4,25.17,35.6,30.23,4
7,12:00 PM,73.4,27.03,37.4,30.28,4
8,12:00 PM,73.4,25.17,35.6,30.31,-
9,12:00 PM,73.4,29,39.2,30.28,4
10,12:00 PM,73.4,33.34,42.8,30.25,5
11,12:00 PM,71.6,35.42,42.8,30.2,6
12,12:00 PM,69.8,35.13,41,30.2,6
13,12:00 PM,68,37.36,41,30.11,-
14,12:00 PM,64.94,46.72,44.06,30.08,5
15,12:00 PM,66.92,33.22,37.04,30.08,6
16,12:00 PM,78.98,34.94,48.92,30.11,12
17,12:00 PM,77,33.46,46.04,30.25,17
18,12:00 PM,80.06,21.38,37.04,30.21,3
19,12:00 PM,78.08,26.63,41,30.26,4
20,12:00 PM,73.04,24.94,35.06,30.32,-
21,12:00 PM,73.04,27.94,37.94,30.31,4
22,12:00 PM,69.08,31.96,37.94,30.25,4
23,12:00 PM,69.98,42.35,46.04,30.11,11
24,12:00 PM,82.04,32.92,50,29.97,-
25,12:00 PM,86,19.76,39.92,29.97,15
1,10:00 AM,57.2,44.2,35.6,30.13,8
2,10:00 AM,59,42.03,35.96,30.3,-
3,10:00 AM,60.98,39.18,35.96,30.29,6
4,10:00 AM,62.6,33.95,33.8,30.05,6
5,10:00 AM,62.6,39.16,37.4,30.17,8
6,10:00 AM,64.4,36.77,37.4,30.24,8
7,10:00 AM,64.4,39.46,39.2,30.29,5
8,10:00 AM,64.4,36.77,37.4,30.32,9
9,10:00 AM,66.2,34.54,37.4,30.29,6
10,10:00 AM,66.2,39.75,41,30.26,-
11,10:00 AM,62.6,42.03,39.2,30.22,4
12,10:00 AM,64.4,39.46,39.2,30.2,3
13,10:00 AM,62.06,44.05,39.92,30.11,5
14,10:00 AM,60.08,53.18,42.98,30.09,3
15,10:00 AM,62.06,44.05,39.92,30.1,10
16,10:00 AM,69.08,54.51,51.98,30.13,8
17,10:00 AM,75.2,33.63,44.6,30.2,11
18,10:00 AM,71.06,29.87,37.94,30.22,6
19,10:00 AM,69.8,37.66,42.8,30.27,5
20,10:00 AM,66.02,35.5,37.94,30.33,4
21,10:00 AM,64.04,38.04,37.94,30.31,4
22,10:00 AM,62.96,42.68,39.92,30.26,6
23,10:00 AM,66.92,52.41,48.92,30.1,3
24,10:00 AM,75.02,44.61,51.98,30.01,11
25,10:00 AM,78.08,27.76,42.08,29.98,7
1,8:00 AM,50,57.52,35.6,30.12,7
2,8:00 AM,50,57.52,35.6,30.28,-
3,8:00 AM,51.8,53.81,35.6,30.25,5
4,8:00 AM,55.4,43.9,33.8,30.02,6
5,8:00 AM,53.6,46.88,33.8,30.15,7
6,8:00 AM,53.6,54.08,37.4,30.22,7
7,8:00 AM,55.4,50.65,37.4,30.29,7
8,8:00 AM,53.6,54.08,37.4,30.3,6
9,8:00 AM,53.6,58.03,39.2,30.28,6
10,8:00 AM,53.6,62.24,41,30.24,4
11,8:00 AM,53.6,62.24,41,30.2,4
12,8:00 AM,53.6,66.71,42.8,30.18,3
13,8:00 AM,53.6,66.71,42.8,30.09,4
14,8:00 AM,53.6,76.52,46.4,30.06,-
15,8:00 AM,57.2,58.55,42.8,30.09,7
16,8:00 AM,66.02,56.28,50,30.14,13
17,8:00 AM,69.98,49.13,50,30.18,7
18,8:00 AM,60.08,47.25,39.92,30.21,8
19,8:00 AM,60.8,51.48,42.8,30.26,6
20,8:00 AM,55.4,50.65,37.4,30.32,6
21,8:00 AM,53.6,58.03,39.2,30.28,6
22,8:00 AM,53.96,56.88,39.02,30.23,6
23,8:00 AM,59,77.01,51.8,30.07,3
24,8:00 AM,68,56.19,51.8,30.03,10
25,8:00 AM,69.8,32.76,39.2,29.98,9
1,6:00 AM,50,56.3,35.06,30.11,6
2,6:00 AM,50,56.3,35.06,30.27,4
3,6:00 AM,50,57.52,35.6,30.22,4
4,6:00 AM,57.2,41.14,33.8,30,8
5,6:00 AM,53.6,50.37,35.6,30.15,8
6,6:00 AM,53.6,54.08,37.4,30.21,3
7,6:00 AM,55.4,50.65,37.4,30.27,7
8,6:00 AM,53.6,54.08,37.4,30.28,5
9,6:00 AM,53.6,54.08,37.4,30.26,-
10,6:00 AM,53.6,58.03,39.2,30.21,5
11,6:00 AM,53.6,58.03,39.2,30.18,4
12,6:00 AM,53.96,61.43,41,30.16,3
13,6:00 AM,53.96,71.51,44.96,30.06,6
14,6:00 AM,55.4,71.66,46.4,30.04,5
15,6:00 AM,62.06,53.48,44.96,30.07,-
16,6:00 AM,64.04,64.88,51.98,30.14,10
17,6:00 AM,71.6,26.74,35.6,30.17,9
18,6:00 AM,57.92,55.49,42.08,30.19,7
19,6:00 AM,59,53.39,42.08,30.24,5
20,6:00 AM,53.96,50.42,35.96,30.29,3
21,6:00 AM,53.06,58.78,39.02,30.25,5
22,6:00 AM,53.96,61.43,41,30.2,4
23,6:00 AM,60.08,72.16,51.08,30.03,6
24,6:00 AM,69.08,54.51,51.98,30.02,11
25,6:00 AM,66.92,35.9,39.02,29.98,7
